잖,俐
잗,侮
잘,俭
잚,俗
잠,俘
잡,信
잣,皇
잤,泉
장,鬼
잦,侵
재,禹
잭,侯
잰,追
잴,俊
잼,盾
잽,待
잿,徊
쟀,衍
쟁,律
쟈,很
쟉,须
쟌,叙
쟎,剑
쟐,逃
쟘,食
쟝,盆
쟤,胚
쟨,胧
쟬,胆
저,胜
적,胞
전,胖
절,脉
젊,胎
점,勉
접,狭
젓,狮
정,独
젖,狰
제,狡
젝,狱
젠,狠
젤,贸
젬,怨
젭,急
젯,饵
젱,饶
져,蚀
젼,饺
졀,饼
졈,峦
졉,弯
졌,将
졍,奖
졔,哀
조,亭
족,亮
존,度
졸,迹
졺,庭
좀,疮
좁,疯
좃,疫
종,疤
좆,咨
좇,姿
좋,亲
좌,音
좍,帝
좔,施
좝,闺
좟,闻
좡,闽
좨,阀
좼,阁
좽,差
죄,养
죈,美
죌,姜
죔,叛
죕,送
죗,类
죙,迷
죠,籽
죡,娄
죤,前
죵,首
주,逆
죽,兹
준,总
줄,炼
줅,炸
줆,烁
줌,炮
줍,炫
줏,烂
중,剃
줘,洼
줬,洁
줴,洪
쥐,洒
쥑,柒
쥔,浇
쥘,浊
쥠,洞
쥡,测
쥣,洗
쥬,活
쥰,派
쥴,洽
쥼,染
즈,洛
즉,浏
즌,济
즐,洋
즘,洲
즙,浑
즛,浓
증,津
지,恃
직,恒
진,恢
짇,恍
질,恬
짊,恤
짐,恰
집,恼
짓,恨
징,举
짖,觉
짙,宣
짚,宦
짜,室
짝,宫
짠,宪
짢,突
짤,穿
짧,窃
짬,客
짭,诫
짯,冠
짰,诬
짱,语
째,扁
짹,袄
짼,祖
쨀,神
쨈,祝
쨉,祠
쨋,误
쨌,诱
쨍,诲
쨔,说
쨘,诵
쨩,垦
쩌,退
쩍,既
쩐,屋
쩔,昼
쩜,屏
쩝,屎
쩟,费
쩠,陡
쩡,逊
쩨,眉
쩽,孩
쪄,陨
쪘,除
쪼,险
쪽,院
쫀,娃
쫄,姥
쫌,姨
쫍,姻
쫏,娇
쫑,姚
쫓,娜
쫘,怒
쫙,架
쫠,贺
쫬,盈
쫴,勇
쬈,怠
쬐,癸
쬔,蚤
쬘,柔
쬠,垒
쬡,绑
쭁,绒
쭈,结
쭉,绕
쭌,骄
쭐,绘
쭘,给
쭙,绚
쭝,骆
쭤,络
쭸,绝
쭹,绞
쮜,骇
쮸,统
쯔,耕
쯤,耘
쯧,耗
쯩,耙
찌,艳
찍,泰
찐,秦
찔,珠
찜,班
찝,素
찡,匿
찢,蚕
찧,顽
차,盏
착,匪
찬,捞
찮,栽
찰,捕
참,埂
찹,捂
찻,振
찼,载
창,赶
찾,起
채,盐
책,捎
챈,捍
챌,捏
챔,埋
챕,捉
챗,捆
챘,捐
챙,损
챠,袁
챤,捌
챦,都
챨,哲
챰,逝
챵,捡
처,挫
척,换
천,挽
철,挚
첨,热
첩,恐
첫,捣
첬,壶
청,捅
체,埃
첵,挨
첸,耻
첼,耿
쳄,耽
쳅,聂
쳇,恭
쳉,莽
쳐,莱
쳔,莲
쳤,莫
쳬,莉
쳰,荷
촁,获
초,晋
촉,恶
촌,莹
촐,莺
촘,真
촙,框
촛,梆
총,桂
촤,桔
촨,栖
촬,档
촹,桐
최,株
쵠,桥
쵤,桦
쵬,栓
쵭,桃
쵯,格
쵱,桩
쵸,校
춈,核
추,样
축,根
춘,索
출,哥
춤,速
춥,逗
춧,栗
충,贾
춰,酌
췄,配
췌,翅
췐,辱
취,唇
췬,夏
췰,砸
췸,砰
췹,砾
췻,础
췽,破
츄,原
츈,套
츌,逐
츔,烈
츙,殊
츠,殉
측,顾
츤,轿
츨,较
츰,顿
츱,毙
츳,致
층,柴
치,桌
칙,虑
친,监
칟,紧
칠,党
칡,逞
침,晒
칩,眠
칫,晓
칭,哮
카,唠
칵,鸭
칸,晃
칼,哺
캄,晌
캅,剔
캇,晕
캉,蚌
캐,畔
캑,蚣
캔,蚊
캘,蚪
캠,蚓
캡,哨
캣,哩
캤,圃
캥,哭
캬,哦
캭,恩
컁,鸯
커,唤
컥,唁
컨,哼
컫,唧
컬,啊
컴,唉
컵,唆
컷,罢
컸,峭
컹,峨
케,峰
켁,圆
켄,峻
켈,贼
켐,贿
켑,赂
켓,赃
켕,钱
켜,钳
켠,钻
켤,钾
켬,铁
켭,铃
켯,铅
켰,缺
켱,氧
켸,氨
코,特
콕,牺
콘,造
콜,乘
콤,敌
콥,秤
콧,租
콩,积
콰,秧
콱,秩
콴,称
콸,秘
쾀,透
쾅,笔
쾌,笑
쾡,笋
쾨,债
쾰,借
쿄,值
쿠,倚
쿡,俺
쿤,倾
쿨,倒
쿰,倘
쿱,俱
쿳,倡
쿵,候
쿼,赁
퀀,俯
퀄,倍
퀑,倦
퀘,健
퀭,臭
퀴,射
퀵,躬
퀸,息
퀼,倔
큄,徒
큅,徐
큇,殷
큉,舰
큐,舱
큔,般
큘,航
큠,途
크,拿
큭,耸
큰,爹
클,舀
큼,爱
큽,豺
킁,豹
키,颁
킥,颂
킨,翁
킬,胰
킴,脆
킵,脂
킷,胸
킹,胳
타,脏
탁,脐
탄,胶
탈,脑
탉,脓
탐,逛
탑,狸
탓,狼
탔,卿
탕,逢
태,鸵
택,留
탠,鸳
탤,皱
탬,饿
탭,馁
탯,凌
탰,凄
탱,恋
탸,桨
턍,浆
터,衰
턱,衷
턴,高
털,郭
턺,席
텀,准
텁,座
텃,症
텄,病
텅,疾
테,斋
텍,疹
텐,疼
텔,疲
템,脊
텝,效
텟,离
텡,紊
텨,唐
텬,瓷
텼,资
톄,凉
톈,站
토,剖
톡,竞
톤,部
톨,旁
톰,旅
톱,畜
톳,阅
통,羞
톺,羔
톼,瓶
퇀,拳
퇘,粉
퇴,料
퇸,益
툇,兼
툉,烤
툐,烘
투,烦
툭,烧
툰,烛
툴,烟
툼,烙
툽,递
툿,涛
퉁,浙
퉈,涝
퉜,浦
퉤,酒
튀,涉
튁,消
튄,涡
튈,浩
튐,海
튑,涂
튕,浴
튜,浮
튠,涣
튤,涤
튬,流
튱,润
트,涧
특,涕
튼,浪
튿,浸
틀,涨
틂,烫
틈,涩
틉,涌
틋,悖
틔,悟
틘,悄
틜,悍
틤,悔
틥,悯
티,悦
틱,害
틴,宽
틸,家
팀,宵
팁,宴
팃,宾
팅,窍
파,窄
팍,容
팎,宰
판,案
팔,请
팖,朗
팜,诸
팝,诺
팟,读
팠,扇
팡,诽
팥,袜
패,袖
팩,袍
팬,被
팰,祥
팸,课
팹,冥
팻,谁
팼,调
팽,冤
퍄,谅
퍅,谆
퍼,谈
퍽,谊
펀,剥
펄,恳
펌,展
펍,剧
펏,屑
펐,弱
펑,陵
페,祟
펙,陶
펜,陷
펠,陪
펨,娱
펩,娟
펫,恕
펭,娥
펴,娘
편,通
펼,能
폄,难
폅,预
폈,桑
평,绢
폐,绣
폘,验
폡,继
폣,骏
포,球
폭,琐
폰,理
폴,琉
폼,琅
폽,捧
폿,堵
퐁,措
퐈,描
퐝,域
푀,捺
푄,掩
표,捷
푠,排
푤,焉
푭,掉
푯,捶
푸,赦
푹,堆
푼,推
푿,埠
풀,掀
풂,授
품,捻
풉,教
풋,掏
풍,掐
풔,掠
풩,掂
퓌,培
퓐,接
퓔,掷
퓜,控
퓟,探
퓨,据
퓬,掘
퓰,掺
퓸,职
퓻,基
퓽,聆
프,勘
픈,聊
플,娶
픔,著
픕,菱
픗,勒
피,黄
픽,菲
핀,萌
필,萝
핌,菌
핍,萎
핏,菜
핑,萄
하,菊
학,菩
한,萍
할,菠
핥,萤
함,营
합,乾
핫,萧
항,萨
해,菇
핵,械
핸,彬
핼,梦
햄,婪
햅,梗
햇,梧
했,梢
행,梅
햐,检
향,梳
허,梯
헉,桶
헌,梭
헐,救
헒,曹
험,副
헙,票
헛,酝
헝,酗
헤,厢
헥,戚
헨,硅
헬,硕
헴,奢
헵,盔
헷,爽
헹,聋
혀,袭
혁,盛
현,匾
혈,雪
혐,辅
협,辆
혓,颅
혔,虚
형,彪
혜,雀
혠,堂
혤,常
혭,眶
호,匙
혹,晨
혼,睁
홀,眯
홅,眼
홈,悬
홉,野
홋,啪
홍,啦
홑,曼
화,晦
확,晚
환,啄
활,啡
홧,距
황,趾
홰,啃
홱,跃
홴,略
횃,蚯
횅,蛀
회,蛇
획,唬
횐,累
횔,鄂
횝,唱
횟,患
횡,啰
효,唾
횬,唯
횰,啤
횹,啥
횻,啸
후,崖
훅,崎
훈,崭
훌,逻
훑,崔
훔,帷
훗,崩
훙,崇
훠,崛
훤,婴
훨,圈
훰,铐
훵,铛
훼,铝
훽,铜
휀,铭
휄,铲
휑,银
휘,矫
휙,甜
휜,秸
휠,梨
휨,犁
휩,秽
휫,移
휭,笨
휴,笼
휵,笛
휸,笙
휼,符
흄,第
흇,敏
흉,做
흐,袋
흑,悠
흔,偿
흖,偶
흗,偎
흘,偷
흙,您
흠,售
흡,停
흣,偏
흥,躯
흩,兜
희,假
흰,衅
흴,徘
흼,徙
흽,得
힁,衔
히,盘
힉,舶
힌,船
힐,舵
힘,斜
힙,盒
힛,鸽
힝,敛
